순위,제목,입점일,관람등급,장르
1,365 Days,2020,청소년 관람불가,로맨스/드라마
2,Honest Candidate,2020,12세이상 관람가,코미디
3,Howls Moving Castle,2020,전체 관람가,판타지/어린이
4,Extraction ,2020,청소년 관람불가,액션/스릴러
5,The Call,2020,15세이상 관람가,스릴러/미스터리
6,Peninsula,2020,15세이상 관람가,액션/스릴러
7,"#Alive 	",2020,15세이상 관람가,스릴러/드라마
8,Enola Holmes ,2020,12세이상 관람가,미스터리/범죄
9,Time to Hunt ,2020,15세이상 관람가,범죄/드라마
10,The Man Standing Next,2020,15세이상 관람가,스릴러/드라마
