순위,제목,입점일,관람등급,장르
1,365 Days,2020,청소년 관람불가,로맨스/드라마
2,Kingdom,2019,청소년 관람불가,공포/스릴러
3,Night in Paradise,2021,청소년 관람불가,드라마
4,Space Sweepers,2021,12세이상 관람가,SF/스페이스 오페라
5,Demon Slayer: Kimetsu no Yaiba,2021,15세이상 관람가,애니메이션
6,Sinkhole,2021,12세이상 관람가,코미디/드라마
7,Sweet & Sour,2021,15세이상 관람가,로맨스
8,Red Notice ,2021,15세이상 관람가,액션/코미디
9,Parasite,2021,15세이상 관람가,스릴러/드라마
10,Samjin Company English Class,2021,12세이상 관람가,드라마
